DATA ĐH 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,AUTO,,,,,,,,
,,,MÔ TẢ SẢN PHẨM,,,,,,TỈ LỆ SIZE,,,,,,,,,,,,,,,,,THÔNG TIN NHẬP HÀNG,,,,,,,,
STT,PHÂN LOẠI ĐH,PHÂN CẤP SP,TÊN SẢN PHẨM,HÌNH ẢNH,ART/ MÃ SP,Màu,LOẠI SP,CHẤT LIỆU,S / 29,M / 30,L / 31,XL / 32,XXL / 34,SL ĐẶT HÀNG (pcs),"ĐƠN GIÁ
(VNĐ)",TỔNG GIÁ TRỊ,NHÀ MÁY,TIMELINE NHẬP KHO,NGÀY GỬI PO,NGÀY GIAO HÀNG DỰ KIẾN,⚠️ Phân loại đơn hàng,Quý,Tuần,Mã Đơn Đặt Hàng,Trạng Thái,NGÀY NHẬP KHO DỰ KIẾN,NGÀY GIAO THỰC TẾ,SL NHẬP KHO/ Thực tế,% TIẾN ĐỘ NHẬP HÀNG,TRẠNG THÁI GIAO HÀNG,TRẠNG THÁI ĐƠN HÀNG,GHI CHÚ ĐƠN HÀNG,Giá Trị Nhập Hàng thực tế,
31,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,XÁM NHẠT,,,,150,175,100,75,500,124.200 đ,62.100.000 đ,AT,Tháng 3,REVISED 24/12/2026,18/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,31_PO119_XÁM NHẠT,,19/03/2026,18/03/2026,488,"97,60%",Đúng hạn,Hoàn thành,,60.609.600 đ,
32,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,KEM NHẠT,,,,150,175,100,75,500,124.200 đ,62.100.000 đ,AT,Tháng 3,REVISED 24/12/2026,18/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,32_PO119_KEM NHẠT,,19/03/2026,18/03/2026,487,"97,40%",Đúng hạn,Hoàn thành,,60.485.400 đ,
33,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,CAFE,,,,175,250,175,100,700,112.860 đ,79.002.000 đ,TLN,Tháng 6,"Revised 27/2/2026
30/3/2026 (RV)",02/06/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 1,33_PO88_CAFE,,03/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,
34,RESTOCK,CHỦ LỰC,CLASSIC DIAMOND,,PO215,NAVY,,,,150,175,100,75,500,117.000 đ,58.500.000 đ,AN,Tháng 3,Revised 27/2/2026,25/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 4,34_PO215_NAVY,,26/03/2026,25/03/2026,500,"100,00%",Đúng hạn,Hoàn thành,,58.500.000 đ,
35,RESTOCK,DUY TRÌ,ZYBER,,PO210,ĐEN,,,,150,175,100,75,500,145.800 đ,72.900.000 đ,AT,Tháng 3,Revised 24/12/2025,26/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 4,35_PO210_ĐEN,,27/03/2026,24/03/2026,406,"81,20%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,59.194.800 đ,
36,RESTOCK,CHỦ LỰC,TRAVIS,,PO98,NAVY,,,,250,250,200,100,800,124.200 đ,99.360.000 đ,AT,Tháng 3,Revised 24/12/2025,03/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 1,36_PO98_NAVY,,04/03/2026,03/03/2026,434,"54,25%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,53.902.800 đ,
37,RESTOCK,DUY TRÌ,MAVEN,,PO230,NAVY,,,,175,175,150,100,600,137.160 đ,82.296.000 đ,AT,Tháng 3,Revised 28/02/2026,10/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 2,37_PO230_NAVY,,11/03/2026,12/03/2026,587,"97,83%",Đúng hạn,Hoàn thành,,80.512.920 đ,
38,NEW IN,NEWIN,ZYBER,,PO210,CAFE,,,,125,150,125,100,500,145.800 đ,72.900.000 đ,AT,Tháng 3,Revised 24/12/2025,23/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 4,38_PO210_CAFE,,24/03/2026,23/03/2026,430,"86,00%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,62.694.000 đ,
39,NEW IN,NEWIN,ZYBER,,PO210,BE NHẠT,,,,200,300,200,100,800,145.800 đ,116.640.000 đ,AT,Tháng 3,Revised 24/12/2025,24/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 4,39_PO210_BE NHẠT,,25/03/2026,24/03/2026,697,"87,13%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,101.622.600 đ,
40,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,ĐEN,,,,175,200,125,100,600,115.000 đ,69.000.000 đ,AT,Tháng 3,Revised 24/12/2025,05/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 1,40_PO119_ĐEN,Cancel,06/03/2026,,,,Trễ hạn,Chưa nhận hàng,,,TRẢ VỀ ĐƠN THÁNG 1
